code,name,descr
OHM,OHM,Ohm ( Ohm )
OM,C61,Spec. Elec. Resistance ( Ohmm )
OZ,ONZ,Ounce ( oz )
OZA,OZA,Fluid Ounce US ( foz US )
P,P,Points ( P )
PA,PAL,Pascal ( Pa )
PAA,PR,Pair ( PAIR )
PAK,PK,Pack ( PAK )
PAL,PF,Pallet ( PAL )
PAS,C65,Pascal second ( Pas )
PC,PC,PEICES ( PC )
PCE,PCE,Pieces ( PCE )
PCT,PCT,Group proportion ( PrC )
PMI,PMI,1/minute ( 1/min )
PMR,PMR,Permeation Rate SI ( kg/m2s )
PPB,PPB,Parts per billion ( ppb )
PPM,59,Parts per million ( ppm )
PPT,PPT,Parts per trillion ( ppt )
PRM,PRM,Permeation Rate ( ug/c2m )
PRS,IE,Number of Persons ( PRS )
PS,H70,Picosecond ( ps )
PT,PT,Pint
PTS,PTS,-9
QT,QTL,Quart
RHO,23,Gram/cubic centimeter ( g/cm3 )
ROL,RO,Role ( ROL )
RPM,RPM,RPM ( RPM )
S,SEC,Second ( s )
SCM,SCM,SCM ( SCM )
ST,PCE,Pices (EA) ( EA )
STD,HUR,Hours ( hrs )
TAG,DAY,Days ( Days )
TAS,TAS,Tonne Arsenic ( TAS )
tbl,tbl,Tonne/US Barrel ( t/bbl )
tbt,tbt,Tonne/British Thermal Unit ( t/Btu )
TC3,TC3,1/cubic centimeter ( 1/cm3 )
TCU,TCU,Ton Copper ( TCU )
TES,D33,Tesla ( D )
tgl,tgl,US Tonne/US Gallon ( ton/gl )
TH,MIL,Thousands ( thou )
tjl,tjl,Tonne/Joule ( t/Joul )
TM3,,1/cubic meter ( 1/m3 )
tm3,,Tonne/1000 Cubic Meters ( t/tm3 )
TO,TNE,Tonne ( t )
TON,STN,US ton ( ton )
TOT,TOT,Troy Oz / Tonne ( Tot )
TOZ,TOZ,Troy OncesTonne ( Toz )
tt,tt,Tonne/Tonne ( t/t )
ttj,ttj,Tonne/Terajoule ( t/TJ )
UGL,H29,Microgram/liter ( µg/l )
V%,PV,Percent volume ( %(V) )
V%O,VPO,Permille volume ( %O(V) )
V,VLT,Volt ( V )
V01,G42,Microsiemens per centimeter ( µS/cm )
V02,C36,Millimol per liter ( mMol/l )
VAL,VAL,Value-only material ( val )
VPB,VPB,Volume parts per billion ( ppb(V) )
VPM,VPM,Volume parts per million ( ppm(V) )
VPT,VPT,Volume parts per trillion ( ppt(V) )
W,WTT,Watt ( W )
WCH,WEE,Weeks ( Weeks )
WMK,D53,Heat Conductivity ( W/mk )
WTL,WTL,Vaporization Speed ( kg/sm2 )
YD,YRD,Yards ( yd )
YD2,YDK,Square Yard ( yd2 )
YD3,YDQ,Cubic yard ( yd3 )
YTA,YTA,Tonne Ash ( YTA )
YTD,YTD,Tonne Dry ( YTDr )
YTM,YTM,Moisture (Tonnes) ( YTM )
ZE,3H,Kilogram ( ZE )

